mode	style	prop	zoom	value
light	PhysicalFeature-Rank-1-2-Globe	0:visible	14-24	False
light	PhysicalFeature-Rank-1-2-Globe	18:textSizeScale	0-11	1.2
light	PhysicalFeature-Rank-1-2-Globe	18:textSizeScale	11-24	1.83
light	PhysicalFeature-Rank-1-2-Globe	23:fontSpec	0-24	%$default,bold-G3,width=140
light	PhysicalFeature-Rank-1-2-Globe	24:textColor	0-24	rgb(221,208,188) a=255
light	PhysicalFeature-Rank-1-2-Globe	25:labelHaloColor	0-11	rgb(28,38,50) a=199
light	PhysicalFeature-Rank-1-2-Globe	25:labelHaloColor	11-24	rgb(28,38,50) a=219
light	PhysicalFeature-Rank-1-2-Globe	29:fontSizeParam	0-2	0.5
light	PhysicalFeature-Rank-1-2-Globe	29:fontSizeParam	2-3	2.5
light	PhysicalFeature-Rank-1-2-Globe	29:fontSizeParam	3-4	10
light	PhysicalFeature-Rank-1-2-Globe	29:fontSizeParam	4-5	20
light	PhysicalFeature-Rank-1-2-Globe	29:fontSizeParam	5-6	40
light	PhysicalFeature-Rank-1-2-Globe	29:fontSizeParam	6-7	80
light	PhysicalFeature-Rank-1-2-Globe	29:fontSizeParam	7-24	160
light	PhysicalFeature-Rank-1-2-Globe	33:labelTextVisibility	0-24	1
light	PhysicalFeature-Rank-1-2-Globe	58:sizeRange	0-24	[0.0, 2.0]
light	PhysicalFeature-Rank-1-2-Globe	59:dropShadowColor	0-24	rgb(51,39,34) a=26
light	PhysicalFeature-Rank-1-2-Globe	172:labelInfo	0-2	{"height": 12.98701286315918}
light	PhysicalFeature-Rank-1-2-Globe	172:labelInfo	2-3	{"height": 9.090909004211426, "heightCurve": 0, "heightCurveLimit": 11.688311576843262}
light	PhysicalFeature-Rank-1-2-Globe	172:labelInfo	3-4	{"height": 11.688311576843262, "heightCurve": 0, "heightCurveLimit": 16.88311767578125}
light	PhysicalFeature-Rank-1-2-Globe	172:labelInfo	4-5	{"height": 16.88311767578125, "heightCurve": 0, "heightCurveLimit": 22.077922821044922}
