style	name	size	scale	checksum	url
1	VECTOR_STANDARD	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf?flags=40
7	RASTER_SATELLITE	2	1	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
7	RASTER_SATELLITE	2	2	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
11	VECTOR_BUILDINGS	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf?flags=1
12	VECTOR_TRAFFIC	2	0	CHECKSUM_TYPE_NONE	https://gspe12-ssl.ls.apple.com/traffic
13	VECTOR_POI	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf?flags=34
14	SPUTNIK_METADATA	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
15	SPUTNIK_C3M	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
16	SPUTNIK_DSM	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
17	SPUTNIK_DSM_GLOBAL	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
17	SPUTNIK_DSM_GLOBAL	1	1	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
18	VECTOR_REALISTIC	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf
20	VECTOR_ROADS	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf?flags=32
22	VECTOR_TRAFFIC_SKELETON	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf
30	VECTOR_VENUES	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf?flags=32
33	RASTER_SATELLITE_NIGHT	2	1	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
37	VECTOR_TRANSIT	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf?flags=34
42	FLYOVER_C3M_MESH	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
43	FLYOVER_C3M_JPEG_TEXTURE	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
44	FLYOVER_C3M_ASTC_TEXTURE	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
47	VECTOR_TRANSIT_SELECTION	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf?flags=32
48	VECTOR_COVERAGE	2	0	CHECKSUM_TYPE_NONE	https://gspe19-ssl.ls.apple.com/tile.vf
52	FLYOVER_METADATA	2	0	CHECKSUM_TYPE_NONE	https://gspe11-ssl.ls.apple.com/tile
