style_id	style	tag	chapter (reader in GeoServices geo::codec)	tiles_with_tag	tiles_total	bytes_kb
1	VECTOR_STANDARD	1	header/tile metadata	56	56	0.7
1	VECTOR_STANDARD	10	labels	56	56	18.9
1	VECTOR_STANDARD	11	labels (2nd chapter read by _readLabels)	56	56	0.9
1	VECTOR_STANDARD	13	labels (3rd chapter of _readLabels)	56	56	212.9
1	VECTOR_STANDARD	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	156	56	3315.6
1	VECTOR_STANDARD	30	pois	56	56	218.5
1	VECTOR_STANDARD	31	lines	44	56	99.7
1	VECTOR_STANDARD	32	?	56	56	727.1
1	VECTOR_STANDARD	38	coastlines (_readCoastlines)	56	56	21.6
1	VECTOR_STANDARD	51	?	14	56	6.6
1	VECTOR_STANDARD	52	?	56	56	114.9
1	VECTOR_STANDARD	131	?	9	56	0.3
1	VECTOR_STANDARD	141	label placement metadata	30	56	5.3
1	VECTOR_STANDARD	145	lines extended	12	56	7.2
20	VECTOR_ROADS	1	header/tile metadata	104	104	1.2
20	VECTOR_ROADS	10	labels	98	104	42.4
20	VECTOR_ROADS	11	labels (2nd chapter read by _readLabels)	98	104	1.4
20	VECTOR_ROADS	13	labels (3rd chapter of _readLabels)	98	104	139.9
20	VECTOR_ROADS	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	158	104	2336.9
20	VECTOR_ROADS	30	pois	56	104	14.3
20	VECTOR_ROADS	31	lines	102	104	144.9
20	VECTOR_ROADS	51	?	100	104	397.7
20	VECTOR_ROADS	131	?	1	104	0.0
20	VECTOR_ROADS	141	label placement metadata	93	104	168.7
20	VECTOR_ROADS	152	DaVinci traffic skeleton	95	104	251.0
30	VECTOR_VENUES	1	header/tile metadata	47	47	0.5
30	VECTOR_VENUES	10	labels	11	47	13.8
30	VECTOR_VENUES	11	labels (2nd chapter read by _readLabels)	11	47	0.6
30	VECTOR_VENUES	13	labels (3rd chapter of _readLabels)	11	47	129.8
30	VECTOR_VENUES	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	19	47	215.3
30	VECTOR_VENUES	30	pois	11	47	27.5
30	VECTOR_VENUES	32	?	8	47	59.3
30	VECTOR_VENUES	52	?	8	47	12.2
30	VECTOR_VENUES	137	venues	11	47	82.7
30	VECTOR_VENUES	144	pois addendum	11	47	4.5
30	VECTOR_VENUES	151	POI MZR overrides	11	47	0.5
37	VECTOR_TRANSIT	1	header/tile metadata	179	179	2.1
37	VECTOR_TRANSIT	10	labels	161	179	105.4
37	VECTOR_TRANSIT	11	labels (2nd chapter read by _readLabels)	161	179	3.0
37	VECTOR_TRANSIT	13	labels (3rd chapter of _readLabels)	161	179	214.0
37	VECTOR_TRANSIT	128	transit systems	161	179	152.3
37	VECTOR_TRANSIT	129	transit network	161	179	3384.3
37	VECTOR_TRANSIT	130	?	154	179	31.2
53	VECTOR_ROAD_NETWORK	1	header/tile metadata	1	1	0.0
53	VECTOR_ROAD_NETWORK	10	labels	1	1	0.4
53	VECTOR_ROAD_NETWORK	11	labels (2nd chapter read by _readLabels)	1	1	0.0
53	VECTOR_ROAD_NETWORK	13	labels (3rd chapter of _readLabels)	1	1	1.3
53	VECTOR_ROAD_NETWORK	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	1	1	0.5
53	VECTOR_ROAD_NETWORK	30	pois	1	1	1.3
53	VECTOR_ROAD_NETWORK	51	?	1	1	9.8
53	VECTOR_ROAD_NETWORK	60	lines by tag (_readLines) / connectivity (_readConnectivity)	1	1	15.1
53	VECTOR_ROAD_NETWORK	135	road network	1	1	41.5
56	VECTOR_STREET_POI	1	header/tile metadata	4	4	0.0
56	VECTOR_STREET_POI	10	labels	4	4	0.3
56	VECTOR_STREET_POI	11	labels (2nd chapter read by _readLabels)	4	4	0.1
56	VECTOR_STREET_POI	13	labels (3rd chapter of _readLabels)	4	4	3.0
56	VECTOR_STREET_POI	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	4	4	0.1
56	VECTOR_STREET_POI	30	pois	4	4	0.4
56	VECTOR_STREET_POI	138	storefronts	4	4	0.1
56	VECTOR_STREET_POI	151	POI MZR overrides	3	4	0.1
58	VECTOR_SPR_MERCATOR	1	header/tile metadata	155	155	2.0
58	VECTOR_SPR_MERCATOR	100	DaVinci 3D data	155	155	20498.8
58	VECTOR_SPR_MERCATOR	101	elevation raster	155	155	510.9
58	VECTOR_SPR_MERCATOR	154	style attribute rasters (landcover index / climate)	296	155	86.9
58	VECTOR_SPR_MERCATOR	155	material rasters + materials	155	155	1400.1
61	VECTOR_SPR_METADATA	1	header/tile metadata	12	12	0.1
64	VECTOR_STREET_LANDMARKS	1	header/tile metadata	4	4	0.0
64	VECTOR_STREET_LANDMARKS	10	labels	4	4	0.3
64	VECTOR_STREET_LANDMARKS	11	labels (2nd chapter read by _readLabels)	4	4	0.1
64	VECTOR_STREET_LANDMARKS	13	labels (3rd chapter of _readLabels)	4	4	4.7
64	VECTOR_STREET_LANDMARKS	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	4	4	0.1
64	VECTOR_STREET_LANDMARKS	30	pois	4	4	0.6
66	VECTOR_SPR_ROADS	1	header/tile metadata	155	155	1.9
66	VECTOR_SPR_ROADS	10	labels	124	155	62.6
66	VECTOR_SPR_ROADS	11	labels (2nd chapter read by _readLabels)	124	155	1.7
66	VECTOR_SPR_ROADS	13	labels (3rd chapter of _readLabels)	124	155	176.2
66	VECTOR_SPR_ROADS	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	170	155	2184.2
66	VECTOR_SPR_ROADS	30	pois	28	155	5.5
66	VECTOR_SPR_ROADS	31	lines	142	155	147.3
66	VECTOR_SPR_ROADS	51	?	104	155	60.7
66	VECTOR_SPR_ROADS	131	?	8	155	0.2
66	VECTOR_SPR_ROADS	141	label placement metadata	29	155	385.2
66	VECTOR_SPR_ROADS	152	DaVinci traffic skeleton	66	155	1300.9
67	VECTOR_SPR_STANDARD	1	header/tile metadata	133	133	1.7
67	VECTOR_SPR_STANDARD	10	labels	125	133	35.2
67	VECTOR_SPR_STANDARD	11	labels (2nd chapter read by _readLabels)	125	133	2.8
67	VECTOR_SPR_STANDARD	13	labels (3rd chapter of _readLabels)	125	133	806.0
67	VECTOR_SPR_STANDARD	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	195	133	955.2
67	VECTOR_SPR_STANDARD	30	pois	113	133	50.4
67	VECTOR_SPR_STANDARD	31	lines	76	133	382.9
67	VECTOR_SPR_STANDARD	32	?	6	133	0.4
67	VECTOR_SPR_STANDARD	131	?	67	133	2.6
67	VECTOR_SPR_STANDARD	141	label placement metadata	18	133	6.7
67	VECTOR_SPR_STANDARD	145	lines extended	108	133	62.3
68	VECTOR_POI_V2	1	header/tile metadata	218	218	2.7
68	VECTOR_POI_V2	10	labels	201	218	95.1
68	VECTOR_POI_V2	11	labels (2nd chapter read by _readLabels)	201	218	5.9
68	VECTOR_POI_V2	13	labels (3rd chapter of _readLabels)	201	218	534.4
68	VECTOR_POI_V2	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	201	218	30.0
68	VECTOR_POI_V2	30	pois	201	218	155.2
68	VECTOR_POI_V2	112	transit MZR override	5	218	0.0
68	VECTOR_POI_V2	136	venue MZR override	26	218	0.1
68	VECTOR_POI_V2	144	pois addendum	201	218	24.7
68	VECTOR_POI_V2	149	?	45	218	1.6
68	VECTOR_POI_V2	151	POI MZR overrides	110	218	6.6
68	VECTOR_POI_V2	160	annotation labels	45	218	2.9
73	VECTOR_BUILDINGS_V2	1	header/tile metadata	93	93	1.1
73	VECTOR_BUILDINGS_V2	142	?	61	93	3003.6
73	VECTOR_BUILDINGS_V2	147	DaVinci landmarks	40	93	6.0
73	VECTOR_BUILDINGS_V2	167	?	40	93	17.8
79	VECTOR_SPR_POLAR	1	header/tile metadata	8	8	0.2
79	VECTOR_SPR_POLAR	100	DaVinci 3D data	8	8	500.3
79	VECTOR_SPR_POLAR	101	elevation raster	8	8	5.7
79	VECTOR_SPR_POLAR	154	style attribute rasters (landcover index / climate)	8	8	0.3
79	VECTOR_SPR_POLAR	155	material rasters + materials	8	8	1.1
83	VECTOR_TOPOGRAPHIC	1	header/tile metadata	93	93	1.1
83	VECTOR_TOPOGRAPHIC	158	hillshade raster	93	93	2073.4
84	VECTOR_POI_V2_UPDATE	1	header/tile metadata	166	166	1.8
84	VECTOR_POI_V2_UPDATE	10	labels	28	166	2.4
84	VECTOR_POI_V2_UPDATE	11	labels (2nd chapter read by _readLabels)	28	166	0.5
84	VECTOR_POI_V2_UPDATE	13	labels (3rd chapter of _readLabels)	28	166	13.7
84	VECTOR_POI_V2_UPDATE	20	shared by _readPois/_readLines/_readCoastlines/_readPolygonsofType (unnamed)	28	166	1.0
84	VECTOR_POI_V2_UPDATE	30	pois	28	166	3.7
84	VECTOR_POI_V2_UPDATE	144	pois addendum	28	166	0.6
84	VECTOR_POI_V2_UPDATE	151	POI MZR overrides	23	166	0.5
84	VECTOR_POI_V2_UPDATE	166	POI updates	29	166	0.8
88	VECTOR_REGION_METADATA	1	header/tile metadata	25	25	0.3
88	VECTOR_REGION_METADATA	168	region metadata	15	25	0.7
