mode	style	prop	zoom	value
light	PhysicalFeature-Rank-1-2	0:visible	14-24	False
light	PhysicalFeature-Rank-1-2	18:textSizeScale	0-13	1
light	PhysicalFeature-Rank-1-2	18:textSizeScale	13-14	1.4
light	PhysicalFeature-Rank-1-2	18:textSizeScale	14-15	1.5
light	PhysicalFeature-Rank-1-2	18:textSizeScale	15-17	1.6
light	PhysicalFeature-Rank-1-2	18:textSizeScale	17-24	2
light	PhysicalFeature-Rank-1-2	23:fontSpec	0-24	%$default,bold-G3,width=140
light	PhysicalFeature-Rank-1-2	29:fontSizeParam	0-2	0.5
light	PhysicalFeature-Rank-1-2	29:fontSizeParam	2-3	2.5
light	PhysicalFeature-Rank-1-2	29:fontSizeParam	3-4	10
light	PhysicalFeature-Rank-1-2	29:fontSizeParam	4-5	20
light	PhysicalFeature-Rank-1-2	29:fontSizeParam	5-6	40
light	PhysicalFeature-Rank-1-2	29:fontSizeParam	6-7	80
light	PhysicalFeature-Rank-1-2	29:fontSizeParam	7-24	160
light	PhysicalFeature-Rank-1-2	33:labelTextVisibility	0-24	1
light	PhysicalFeature-Rank-1-2	58:sizeRange	0-24	[0.0, 2.0]
light	PhysicalFeature-Rank-1-2	59:dropShadowColor	0-24	rgb(51,39,34) a=26
light	PhysicalFeature-Rank-1-2	172:labelInfo	0-2	{"height": 12.98701286315918}
light	PhysicalFeature-Rank-1-2	172:labelInfo	2-3	{"height": 9.090909004211426, "heightCurve": 0, "heightCurveLimit": 11.688311576843262}
light	PhysicalFeature-Rank-1-2	172:labelInfo	3-4	{"height": 11.688311576843262, "heightCurve": 0, "heightCurveLimit": 16.88311767578125}
light	PhysicalFeature-Rank-1-2	172:labelInfo	4-5	{"height": 16.88311767578125, "heightCurve": 0, "heightCurveLimit": 22.077922821044922}
light	PhysicalFeature-Rank-1-2	172:labelInfo	5-6	{"height": 22.077922821044922, "heightCurve": 0, "heightCurveLimit": 27.272727966308594}
light	PhysicalFeature-Rank-1-2	172:labelInfo	6-7	{"height": 27.272727966308594, "heightCurve": 0, "heightCurveLimit": 32.467533111572266}
light	PhysicalFeature-Rank-1-2	172:labelInfo	7-24	{"height": 32.467533111572266}
light	PhysicalFeature-Rank-3-5	0:visible	14-24	False
light	PhysicalFeature-Rank-3-5	18:textSizeScale	0-13	1
light	PhysicalFeature-Rank-3-5	18:textSizeScale	13-14	1.4
light	PhysicalFeature-Rank-3-5	18:textSizeScale	14-15	1.5
light	PhysicalFeature-Rank-3-5	18:textSizeScale	15-17	1.6
light	PhysicalFeature-Rank-3-5	18:textSizeScale	17-24	2
light	PhysicalFeature-Rank-3-5	23:fontSpec	0-24	%$default,bold-G3,width=140
light	PhysicalFeature-Rank-3-5	29:fontSizeParam	0-2	0.5
light	PhysicalFeature-Rank-3-5	29:fontSizeParam	2-3	2.5
light	PhysicalFeature-Rank-3-5	29:fontSizeParam	3-4	10
light	PhysicalFeature-Rank-3-5	29:fontSizeParam	4-5	20
light	PhysicalFeature-Rank-3-5	29:fontSizeParam	5-6	40
light	PhysicalFeature-Rank-3-5	29:fontSizeParam	6-7	80
light	PhysicalFeature-Rank-3-5	29:fontSizeParam	7-24	160
light	PhysicalFeature-Rank-3-5	33:labelTextVisibility	0-24	1
light	PhysicalFeature-Rank-3-5	58:sizeRange	0-24	[0.0, 2.0]
light	PhysicalFeature-Rank-3-5	59:dropShadowColor	0-24	rgb(51,39,34) a=26
light	PhysicalFeature-Rank-3-5	172:labelInfo	0-2	{"height": 12.98701286315918}
light	PhysicalFeature-Rank-3-5	172:labelInfo	2-3	{"height": 9.090909004211426, "heightCurve": 0, "heightCurveLimit": 11.688311576843262}
light	PhysicalFeature-Rank-3-5	172:labelInfo	3-4	{"height": 11.688311576843262, "heightCurve": 0, "heightCurveLimit": 14.285714149475098}
light	PhysicalFeature-Rank-3-5	172:labelInfo	4-5	{"height": 14.285714149475098, "heightCurve": 0, "heightCurveLimit": 16.88311767578125}
light	PhysicalFeature-Rank-3-5	172:labelInfo	5-6	{"height": 16.88311767578125, "heightCurve": 0, "heightCurveLimit": 19.480518341064453}
light	PhysicalFeature-Rank-3-5	172:labelInfo	6-7	{"height": 19.480518341064453, "heightCurve": 0, "heightCurveLimit": 22.077922821044922}
light	PhysicalFeature-Rank-3-5	172:labelInfo	7-24	{"height": 22.077922821044922}
light	PhysicalFeature-Rank-6	0:visible	14-24	False
light	PhysicalFeature-Rank-6	18:textSizeScale	0-13	1
light	PhysicalFeature-Rank-6	18:textSizeScale	13-14	1.4
light	PhysicalFeature-Rank-6	18:textSizeScale	14-15	1.5
light	PhysicalFeature-Rank-6	18:textSizeScale	15-17	1.6
light	PhysicalFeature-Rank-6	18:textSizeScale	17-24	2
light	PhysicalFeature-Rank-6	23:fontSpec	0-24	%$default,bold-G3,width=140
light	PhysicalFeature-Rank-6	29:fontSizeParam	0-2	0.5
light	PhysicalFeature-Rank-6	29:fontSizeParam	2-4	2.5
light	PhysicalFeature-Rank-6	29:fontSizeParam	4-5	5
light	PhysicalFeature-Rank-6	29:fontSizeParam	5-6	15
light	PhysicalFeature-Rank-6	29:fontSizeParam	6-7	40
light	PhysicalFeature-Rank-6	29:fontSizeParam	7-24	80
light	PhysicalFeature-Rank-6	33:labelTextVisibility	0-24	1
light	PhysicalFeature-Rank-6	58:sizeRange	0-24	[0.0, 2.0]
light	PhysicalFeature-Rank-6	59:dropShadowColor	0-24	rgb(51,39,34) a=26
light	PhysicalFeature-Rank-6	172:labelInfo	0-2	{"height": 12.98701286315918}
light	PhysicalFeature-Rank-6	172:labelInfo	2-3	{"height": 9.090909004211426}
light	PhysicalFeature-Rank-6	172:labelInfo	3-4	{"height": 9.090909004211426, "heightCurve": 0, "heightCurveLimit": 11.688311576843262}
light	PhysicalFeature-Rank-6	172:labelInfo	4-5	{"height": 11.688311576843262, "heightCurve": 0, "heightCurveLimit": 14.285714149475098}
light	PhysicalFeature-Rank-6	172:labelInfo	5-6	{"height": 14.285714149475098, "heightCurve": 0, "heightCurveLimit": 16.88311767578125}
light	PhysicalFeature-Rank-6	172:labelInfo	6-7	{"height": 16.88311767578125, "heightCurve": 0, "heightCurveLimit": 19.480518341064453}
light	PhysicalFeature-Rank-6	172:labelInfo	7-24	{"height": 19.480518341064453}
light	PhysicalFeature-Rank-7	0:visible	14-24	False
light	PhysicalFeature-Rank-7	18:textSizeScale	0-13	1
light	PhysicalFeature-Rank-7	18:textSizeScale	13-14	1.4
light	PhysicalFeature-Rank-7	18:textSizeScale	14-15	1.5
light	PhysicalFeature-Rank-7	18:textSizeScale	15-17	1.6
light	PhysicalFeature-Rank-7	18:textSizeScale	17-24	2
light	PhysicalFeature-Rank-7	23:fontSpec	0-24	%$default,bold-G3,width=140
light	PhysicalFeature-Rank-7	29:fontSizeParam	0-1	0.5
light	PhysicalFeature-Rank-7	29:fontSizeParam	1-5	3
light	PhysicalFeature-Rank-7	29:fontSizeParam	5-6	10
light	PhysicalFeature-Rank-7	29:fontSizeParam	6-7	20
light	PhysicalFeature-Rank-7	29:fontSizeParam	7-8	30
light	PhysicalFeature-Rank-7	29:fontSizeParam	8-24	40
light	PhysicalFeature-Rank-7	33:labelTextVisibility	0-24	1
light	PhysicalFeature-Rank-7	58:sizeRange	0-24	[0.0, 2.0]
light	PhysicalFeature-Rank-7	59:dropShadowColor	0-24	rgb(51,39,34) a=26
light	PhysicalFeature-Rank-7	172:labelInfo	0-1	{"height": 12.98701286315918}
light	PhysicalFeature-Rank-7	172:labelInfo	1-4	{"height": 9.090909004211426}
light	PhysicalFeature-Rank-7	172:labelInfo	4-5	{"height": 9.090909004211426, "heightCurve": 0, "heightCurveLimit": 11.688311576843262}
light	PhysicalFeature-Rank-7	172:labelInfo	5-6	{"height": 11.688311576843262, "heightCurve": 0, "heightCurveLimit": 14.285714149475098}
light	PhysicalFeature-Rank-7	172:labelInfo	6-7	{"height": 14.285714149475098, "heightCurve": 0, "heightCurveLimit": 16.88311767578125}
light	PhysicalFeature-Rank-7	172:labelInfo	7-8	{"height": 16.88311767578125, "heightCurve": 0, "heightCurveLimit": 19.480518341064453}
light	PhysicalFeature-Rank-7	172:labelInfo	8-24	{"height": 19.480518341064453}
light	PhysicalFeature-Rank-8-9	0:visible	14-24	False
light	PhysicalFeature-Rank-8-9	18:textSizeScale	0-13	1
light	PhysicalFeature-Rank-8-9	18:textSizeScale	13-14	1.4
light	PhysicalFeature-Rank-8-9	18:textSizeScale	14-15	1.5
light	PhysicalFeature-Rank-8-9	18:textSizeScale	15-17	1.6
light	PhysicalFeature-Rank-8-9	18:textSizeScale	17-24	2
light	PhysicalFeature-Rank-8-9	23:fontSpec	0-24	%$default,bold-G3,width=140
light	PhysicalFeature-Rank-8-9	29:fontSizeParam	0-1	0.5
light	PhysicalFeature-Rank-8-9	29:fontSizeParam	1-6	3
light	PhysicalFeature-Rank-8-9	29:fontSizeParam	6-7	11.5
light	PhysicalFeature-Rank-8-9	29:fontSizeParam	7-8	20
light	PhysicalFeature-Rank-8-9	29:fontSizeParam	8-9	37
light	PhysicalFeature-Rank-8-9	29:fontSizeParam	9-24	54
light	PhysicalFeature-Rank-8-9	33:labelTextVisibility	0-24	1
light	PhysicalFeature-Rank-8-9	58:sizeRange	0-24	[0.0, 2.0]
light	PhysicalFeature-Rank-8-9	59:dropShadowColor	0-24	rgb(51,39,34) a=26
light	PhysicalFeature-Rank-8-9	172:labelInfo	0-1	{"height": 12.98701286315918}
light	PhysicalFeature-Rank-8-9	172:labelInfo	1-5	{"height": 10.389610290527344}
light	PhysicalFeature-Rank-8-9	172:labelInfo	5-6	{"height": 10.389610290527344, "heightCurve": 0, "heightCurveLimit": 11.688311576843262}
light	PhysicalFeature-Rank-8-9	172:labelInfo	6-7	{"height": 11.688311576843262, "heightCurve": 0, "heightCurveLimit": 14.285714149475098}
light	PhysicalFeature-Rank-8-9	172:labelInfo	7-8	{"height": 14.285714149475098, "heightCurve": 0, "heightCurveLimit": 16.88311767578125}
light	PhysicalFeature-Rank-8-9	172:labelInfo	8-9	{"height": 16.88311767578125, "heightCurve": 0, "heightCurveLimit": 19.480518341064453}
light	PhysicalFeature-Rank-8-9	172:labelInfo	9-24	{"height": 19.480518341064453}
light	PhysicalFeature-Rank-1-2-Explore-Light	0:visible	14-24	False
light	PhysicalFeature-Rank-1-2-Explore-Light	18:textSizeScale	0-13	1
light	PhysicalFeature-Rank-1-2-Explore-Light	18:textSizeScale	13-14	1.4
light	PhysicalFeature-Rank-1-2-Explore-Light	18:textSizeScale	14-15	1.5
light	PhysicalFeature-Rank-1-2-Explore-Light	18:textSizeScale	15-17	1.6
light	PhysicalFeature-Rank-1-2-Explore-Light	18:textSizeScale	17-24	2
light	PhysicalFeature-Rank-1-2-Explore-Light	23:fontSpec	0-24	%$default,bold-G3,width=140
light	PhysicalFeature-Rank-1-2-Explore-Light	24:textColor	0-24	rgb(124,112,106) a=255
light	PhysicalFeature-Rank-1-2-Explore-Light	25:labelHaloColor	0-13	rgb(248,248,246) a=204
light	PhysicalFeature-Rank-1-2-Explore-Light	25:labelHaloColor	13-24	rgb(248,248,246) a=128
light	PhysicalFeature-Rank-1-2-Explore-Light	29:fontSizeParam	0-2	0.5
light	PhysicalFeature-Rank-1-2-Explore-Light	29:fontSizeParam	2-3	2.5
light	PhysicalFeature-Rank-1-2-Explore-Light	29:fontSizeParam	3-4	10
light	PhysicalFeature-Rank-1-2-Explore-Light	29:fontSizeParam	4-5	20
light	PhysicalFeature-Rank-1-2-Explore-Light	29:fontSizeParam	5-6	40
light	PhysicalFeature-Rank-1-2-Explore-Light	29:fontSizeParam	6-7	80
light	PhysicalFeature-Rank-1-2-Explore-Light	29:fontSizeParam	7-24	160
light	PhysicalFeature-Rank-1-2-Explore-Light	33:labelTextVisibility	0-24	1
light	PhysicalFeature-Rank-1-2-Explore-Light	58:sizeRange	0-24	[0.0, 2.0]
light	PhysicalFeature-Rank-1-2-Explore-Light	59:dropShadowColor	0-24	rgb(51,39,34) a=26
light	PhysicalFeature-Rank-1-2-Explore-Light	172:labelInfo	0-2	{"height": 12.98701286315918}
light	PhysicalFeature-Rank-1-2-Explore-Light	172:labelInfo	2-3	{"height": 9.090909004211426, "heightCurve": 0, "heightCurveLimit": 11.688311576843262}
light	PhysicalFeature-Rank-1-2-Explore-Light	172:labelInfo	3-4	{"height": 11.688311576843262, "heightCurve": 0, "heightCurveLimit": 16.88311767578125}
light	PhysicalFeature-Rank-1-2-Explore-Light	172:labelInfo	4-5	{"height": 16.88311767578125, "heightCurve": 0, "heightCurveLimit": 22.077922821044922}
light	PhysicalFeature-Rank-1-2-Explore-Light	172:labelInfo	5-6	{"height": 22.077922821044922, "heightCurve": 0, "heightCurveLimit": 27.272727966308594}
light	PhysicalFeature-Rank-1-2-Explore-Light	172:labelInfo	6-7	{"height": 27.272727966308594, "heightCurve": 0, "heightCurveLimit": 32.467533111572266}
light	PhysicalFeature-Rank-1-2-Explore-Light	172:labelInfo	7-24	{"height": 32.467533111572266}
light	PhysicalFeature-Rank-3-5-Explore-Light	0:visible	14-24	False
light	PhysicalFeature-Rank-3-5-Explore-Light	18:textSizeScale	0-13	1
light	PhysicalFeature-Rank-3-5-Explore-Light	18:textSizeScale	13-14	1.4
