style	source	zoom	condition	prop_id	meaning	type	value
POI-CustomLandmark1-Globe	base			24	textColor	rgba8	rgb(255,255,255) a=255
POI-CustomLandmark1-Globe	cond		client:37=[1]	24	textColor	rgba8	rgb(255,255,255) a=255
POI-CustomLandmark1-Globe	cond		client:135=[1]	25	labelHaloColor	rgba8	rgb(0,0,0) a=230
POI-CustomLandmark-Globe	cond		client:135=[1]	25	labelHaloColor	rgba8	rgb(0,0,0) a=230
POI-Route-OnRouteWaypointIcon-Globe-Base	base			2	strokeColor	rgba8	rgb(26,133,255) a=204
POI-Children-Globe-Base	base			18	textSizeScale	float	0.7
POI-Children-Globe-Base	base			24	textColor	rgba8	rgb(255,255,255) a=255
POI-Children-Globe-Base	base			25	labelHaloColor	rgba8	rgb(0,0,0) a=255
POI-Children-Globe-Base	zoom	0-11		18	textSizeScale	float	1.2
POI-Children-Globe-Base	zoom	11-24		18	textSizeScale	float	1.83
POI-Children-Globe-Base	zoom	0-11		18	textSizeScale	float	1.2
POI-Children-Globe-Base	zoom	11-24		18	textSizeScale	float	1.83
POI-Children-Globe-Base	zoom	0-11		25	labelHaloColor	rgba8	rgb(28,38,50) a=199
POI-Children-Globe-Base	zoom	11-24		25	labelHaloColor	rgba8	rgb(28,38,50) a=219
POI-Children-Globe-Base	cond		client:135=[1]	25	labelHaloColor	rgba8	rgb(0,0,0) a=230
Grid-GlobeHybrid	base			1	fillColor	rgba8	rgb(81,81,81) a=255
Grid-GlobeHybrid	base			203	gridColor	rgba8	rgb(56,64,68) a=102
Grid-GlobeHybrid	cond		client:TimePeriod=[1] & client:MapMode=[0, 6]	1	fillColor	rgba8	rgb(43,45,47) a=255
Roads-Localized-JPN-Globe-Base	base			18	textSizeScale	float	1
Roads-Localized-JPN-Globe-Base	zoom	0-8		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-Globe-Base	zoom	0-8		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-Globe-Base	zoom	8-14		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-Globe-Base	zoom	8-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(92,204,98) a=128
Roads-Localized-JPN-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=96
Roads-Localized-JPN-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(92,204,98) a=0
Roads-Localized-JPN-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(19,21,26) a=230
Roads-Localized-JPN-Globe-Base	zoom	0-6		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-Globe-Base	zoom	0-6		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-Globe-Base	zoom	6-12		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-Globe-Base	zoom	6-12		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-Globe-Base	zoom	12-15		1	fillColor	rgba8	rgb(223,219,211) a=128
Roads-Localized-JPN-Globe-Base	zoom	12-15		2	strokeColor	rgba8	rgb(74,63,53) a=96
Roads-Localized-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(210,204,193) a=0
Roads-Localized-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(74,63,53) a=230
Roads-Localized-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Roads-Localized-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Roads-Localized-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	3	width	float	0
Roads-Localized-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-8		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-8		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	8-14		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	8-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(92,204,98) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=96
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(92,204,98) a=0
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(19,21,26) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-6		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-6		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	6-12		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	6-12		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	12-15		1	fillColor	rgba8	rgb(223,219,211) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	12-15		2	strokeColor	rgba8	rgb(74,63,53) a=96
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(210,204,193) a=0
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(74,63,53) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(170,179,179) a=255
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(162,171,171) a=255
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	3	width	float	0
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	0-14		1	fillColor	rgba8	rgb(40,72,53) a=255
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	0-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(40,72,53) a=128
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=230
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(40,72,53) a=0
