layer	kind	apple_style	note
background	bg	Landcover-Ground.Light-Elevated	land fill = background (OpenMapTiles has no land polygon)
landcover-wood	fill	Landcover-Forest.Light-Explore	OpenMapTiles wood ~ Apple Forest (inferred)
landcover-grass	fill	Landcover-Herbaceous.Light-Explore	grass/farmland ~ Herbaceous (inferred)
landcover-sand	fill	Landcover-Sand.Light-Explore	
landuse-commercial	fill	CommercialPolygon.Elevated-Light	
landuse-hospital	fill	HospitalPolygon.Elevated-Light	
landuse-school	fill	UniversityPolygon.Elevated-Light	school ~ University (inferred)
landuse-cemetery	fill	CemeteryPolygon.Elevated-Light	
landuse-stadium	fill	StadiumPolygon.Elevated-Light	pitch/playground ~ Stadium (inferred)
park	fill	ParkPolygon.Elevated-Light	
landuse-park	fill	ParkPolygon.Elevated-Light	
aeroway	fill	AirportPolygon.Explore-Light	
water	fill	Landcover-Water.Light-Explore	
coast-glow	glow	Coastline-Glow-Light-Base	glow on the water side of the ocean polygon edge: width prop 55 (Coastline-Glow-Base), colour prop 57; OpenMapTiles has no coastline line, the ocean polygon outline stands in
waterway	line	Rivers-Light-Elevated-Base	no dotted leaf for rivers; Flat-Base variant (inferred)
building	building	BuildingFootprint.Light-Explore	fill = buildingFlatColor(86), outline = strokeColor
road-path	road	Line-PrivatePath.Light-Elevated	path/track ~ PrivatePath (inferred)
road-service	road	Line-ServiceRoad.Light-Elevated	
road-minor	road	Line-LocalRoad-MinorRoad.Light-JPN-Elevated	
road-tertiary	road	Line-LocalMajorRoad.Light-JPN-Elevated	tertiary ~ LocalMajorRoad (inferred)
road-secondary	road	Line-ConnectorRoad.Light-JPN-Elevated	secondary ~ ConnectorRoad (inferred)
road-primary	road	Line-Highway.Light-JPN-Elevated	primary ~ Highway (inferred)
road-trunk	road	Line-MajorHighway.Light-JPN-Elevated	trunk ~ MajorHighway (inferred)
road-motorway	road	Line-FreewayControlled.Light-JPN-Elevated	motorway ~ FreewayControlled
road-kokudo	road	Line-Highway.Light-JPN-ClassOne-Elevated	国道 (national routes) drawn from transportation_name geometry: OpenMapTiles transportation has no ref; ClassOne purple = Apple JPN-ClassOne (inferred name-prefix test)
