name	kind	inherits	fill	stroke	blurRadius	blurAtEnd	backdropScale	saturation	brightness	luminanceAmount	luminanceValues	colorMatrix	other
ambientCompact	materialrecipe				40	True	0.25						{"curvesValues": {"inputRedValues": [0, 0.7, 0.88, 0.88], "inputGreenValues": [0, 0.7, 0.88, 0.88], "inputBlueValues": [0, 0.7, 0.88, 0.88]}}
carPlayPlatters	materialrecipe				15								
carPlayPlattersDark	materialrecipe				15								
dockDark	materialrecipe				30	True	0.25	1.6		0.5	[0.29, -0.2, 0.375, 0.65]		
dockLight	materialrecipe				30	True	0.25	1.8	0.08	0.5	[0.3, 0.5, 1.0, 0.77]		
knowledgeBackground	materialrecipe		platterFillLight	platterStrokeLight	29.5	True	0.45	1.35		0.47	[0, 0.13, 0.13, 0]		
knowledgeBackgroundDark	materialrecipe				29.5	True	0.45	1.45		0.57	[-0.1, 0.03, 0.03, -0.1]		
knowledgePlatters	materialrecipe		platterFillLight	platterStrokeLight	15.0	True	0.25					[[0.920517, -0.451026, -0.0869913, 0, 0.65875], [-0.229326, 0.699512, -0.0876859, 0, 0.65875], [-0.230021, -0.449984, 1.06251, 0, 0.65875], [0, 0, 0, 1.0, 0]]	
knowledgePlattersDark	materialrecipe		platterFillDark	platterStrokeDark	15.0	True	0.25					[[1.04989, -0.084126, -0.0157665, 0, 0.095], [-0.0424589, 1.00889, -0.0164264, 0, 0.095], [-0.0431188, -0.0831362, 1.07625, 0, 0.095], [0, 0, 0, 1.0, 0]]	
knowledgePlattersSheer	materialrecipe		platterFillLight	platterStrokeLight	30	True	0.25	2.4		0.6	[0.775, 0.85, 1.05, 0.94]		
knowledgePlattersSheerDark	materialrecipe		platterFillDark	platterStrokeDark	30	True	0.25	1.4	-0.03	0.4	[0.41, -0.4, 0.3, 0]		
modules	materialrecipe		moduleFill	moduleStroke								[[0.924, -0.175, -0.018, 0, -0.061], [-0.052, 0.801, -0.018, 0, -0.061], [-0.052, -0.175, 0.958, 0, -0.061], [0, 0, 0, 1.0, 0]]	
modulesBackground	materialrecipe		moduleFill	moduleStroke	25			1.6		0.4	[0.38, 0, 1, 0.76]		{"zoom": 0.04}
modulesBackgroundSheer	descendantrecipe	modulesBackground	moduleFill	moduleStroke	10.0		0.25	1.45		0.4	[0.38, 0, 1, 0.76]		{"zoom": 0.01, "blurInputQuality": "medium"}
