stream_id	PropertyID	decoder(27)	read_as(26.1)	callers(26.1)
0	91	bool	BOOL×29	oid md::layoutElevatedPolygonMeshes<md::ElevatedPolygonRenderable>×3 | oid md::layoutElevatedPolygonMeshes<md::DaVinciGroundRenderable>×3 | oid md::PolylineOverlayStyle::layout×2 | oid md::CoastlineRenderLayer::layout×2 | oid std::__function::__func<md::VenueRenderLayer::_layoutVenueWalls×2 | oid md::COverlayRenderLayer::layoutResource×1
1	92	rgba8	geo::Color<unsigned short,4,(geo::ColorSpace)0>×3	oid md::GridLogic::runBeforeLayout×3
3	94	float	float×29	int64_t md::getRoadWidths×6 | md::RouteLineSection::halfWidthAtZoom×3 | oid md::DaVinciGroundRenderLayer::layoutRibbons×3 | oid md::RouteRenderLayer::layoutArrowsAndManeuverPoints×3 | oid md::DaVinciTrafficLayer::layout×3 | md::LabelCoreStyleGroup::update×3
6	97	float	float×35	int64_t md::getRoadWidths×6 | oid md::PolylineOverlayStyle::layout×3 | int64_t md::writeSourceConstants<md::PolygonTileData,md::Stroke1StyleProperties>×3 | int64_t md::writeSourceConstants<md::VenueTileData,md::Stroke1StyleProperties>×3 | oid md::PuckStyleInfo::update×3 | int64_t md::RouteStyleContext::RouteStyleContext×3
9	100	float	float×5	md::FontSizeInfo::update×4 | int64_t GetRoadSignMetadataForStyleQuery×1
13	104	uint32	unsigned int×14	oid md::RoadBatch::setRenderOrdersForStrokeAndFill×3 | oid md::layoutElevatedPolygonMeshes<md::ElevatedPolygonRenderable>×3 | oid md::layoutElevatedPolygonMeshes<md::DaVinciGroundRenderable>×3 | oid md::_layoutPolygonGroup<md::PolygonTileData>×1 | oid md::_layoutPolygonGroup<md::VenueTileData>×1 | int64_t md::RouteStyleContext::RouteStyleContext×1
14	105	bool	BOOL×2	int64_t md::getRoadWidths×2
15	106	uint32	unsigned int×2	oid md::RoadBatch::setRenderOrdersForStrokeAndFill×1 | oid md::DaVinciTrafficLayer::layout×1
16	107	bool	BOOL×7	int64_t md::writeSourceConstants<md::PolygonTileData,md::Stroke1StyleProperties>×1 | int64_t md::writeSourceConstants<md::VenueTileData,md::Stroke1StyleProperties>×1 | oid md::RoadStyling::update×1 | oid md::PatternedBatch::layout×1 | oid md::TrailJunctionsResource::updateWithContext×1 | oid md::layoutElevatedPolygonMeshes<md::ElevatedPolygonRenderable>×1
17	108	bool	BOOL×9	oid md::_layoutPolygonGroup<md::PolygonTileData>×2 | oid md::_layoutPolygonGroup<md::VenueTileData>×2 | oid md::RoadStyling::update×1 | oid md::PatternedBatch::layout×1 | oid md::TrailJunctionsResource::updateWithContext×1 | oid md::layoutElevatedPolygonMeshes<md::ElevatedPolygonRenderable>×1
