op	n	cls	op_en	name_en	osm_name	how	segments_in_tiles
こうべ未来都市機構	摩耶ケーブル線	cable				unmatched	34
ラクテンチ	別府ラクテンチケーブル線	cable				unmatched	40
一般財団法人青函トンネル記念館	青函トンネル竜飛斜坑線	cable		Seikan Tunnel Tappi Shako Line	青函トンネル竜飛斜坑線	exact (no operator on way) (relation)	31
丹後海陸交通	天橋立鋼索鉄道	cable		Tango Land Amanohashidate Steel Railway	天橋立鋼索鉄道	alias	31
京福電気鉄道	鋼索線	cable	Keifuku	Cable Line	鋼索線	exact	31
京阪電気鉄道	鋼索線	cable	Keihan	Iwashimizu-Hachimangu-Sando-Cable	石清水八幡宮参道ケーブル	alias	52
十国峠	十国鋼索線	cable	Izuhakone Railway	Jukkokutoge Cable Line	十国鋼索線	alias (no operator on way)	29
南海電気鉄道	鋼索線	cable	Nankai	Cable Line	鋼索線	exact	31
四国ケーブル	八栗ケーブル	cable				unmatched	29
大山観光電鉄	大山鋼索線	cable				unmatched	53
小田急箱根	鋼索線	cable	Hakone Tozan	Cable Car	小田急箱根鋼索線	alias	122
御岳登山鉄道	ケーブルカー	cable		Mitake Tozan Railway	御岳登山鉄道	operator-named (no operator on way) (relation)	28
比叡山鉄道	比叡山鉄道線	cable		Hieizan Railway	比叡山鉄道	operator-named	71
湘南モノレール	江の島線	cable	Shonan Monorail	Enoshima Line	江の島線	exact (relation)	182
皿倉登山鉄道	帆柱ケーブル線	cable				unmatched	33
神戸六甲鉄道	六甲ケーブル線	cable		Rokko Cable Line	六甲ケーブル線	exact	33
立山黒部貫光	鋼索線	cable				unmatched	72
筑波観光鉄道	筑波山鋼索鉄道線	cable		Tsukubasan Cable Car	筑波山ケーブルカー	alias (no operator on way)	32
近畿日本鉄道	生駒鋼索線	cable	Kintetsu	Ikoma Cable Line	生駒鋼索線	exact	95
近畿日本鉄道	西信貴鋼索線	cable	Kintetsu			unmatched	30
鞍馬寺	鞍馬山鋼索鉄道	cable		Kurama-dera Cable	鞍馬寺ケーブル	alias (no operator on way)	25
高尾登山電鉄	高尾鋼索線	cable		Takao Tozan Railway	高尾登山電鉄	operator-named (no operator on way)	33
九州旅客鉄道	三角線	jr	JR	Misumi Line	三角線	exact	240
九州旅客鉄道	久大線	jr	JR	Kyudai Main Line	久大線	exact	984
九州旅客鉄道	佐世保線	jr	JR	Sasebo Line	佐世保線	exact	413
九州旅客鉄道	吉都線	jr	JR	Kitto Line	吉都線	exact	503
九州旅客鉄道	唐津線	jr	JR	Karatsu Line	唐津線	exact	359
九州旅客鉄道	大村線	jr	JR	Omura Line	大村線	exact	388
九州旅客鉄道	宮崎空港線	jr	JR	Miyazaki Kuko Line	宮崎空港線	exact	56
九州旅客鉄道	山陽線	jr	JR	San'yo Main Line	山陽線	exact	41
九州旅客鉄道	後藤寺線	jr	JR	Gotoji Line	後藤寺線	exact	165
九州旅客鉄道	指宿枕崎線	jr	JR	Ibusuki Makurazaki Line	指宿枕崎線	exact	874
九州旅客鉄道	日南線	jr	JR	Nichinan Line	日南線	exact	714
